住所,区,地域,ジャンル,店舗名,取扱商品,カテゴリ,カテゴリ(麺類),カテゴリ(薬局),カテゴリ(衣服),カテゴリ(洋菓子)
新潟県新潟市北区太田,北区,太田,中華、ラーメン,食堂・居酒屋麺大誠,お食事処,食べる,1,0,0,0
新潟県新潟市北区白新町,北区,白新町,中華、ラーメン,中華そば・焼き飯 勝関屋,ラーメン・ヤキメシ,食べる,1,0,0,0
新潟県新潟市北区白新町,北区,白新町,中華、ラーメン,焼肉・お食事処中村屋,焼肉・ラーメン,食べる,1,0,0,0
新潟県新潟市北区早通南,北区,早通南,中華、ラーメン,ラーメン&ランチ クマの店,ラーメン・カツ丼他,食べる,1,0,0,0
新潟県新潟市北区つくし野,北区,つくし野,ファストフード、軽食、喫茶,珈琲倶楽部つくしの店,生豆販売・コーヒー・ナポリタン,食べる,0,0,0,0
新潟県新潟市北区石動,北区,石動,ファストフード、軽食、喫茶,Pan de aru(パンデアール),パン,食べる,0,0,0,0
新潟県新潟市北区かぶとやま,北区,かぶとやま,ファストフード、軽食、喫茶,みかづき豊栄店,イタリアン(焼そば)、ソフトクリーム,食べる,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,居酒屋、その他,越後酒造場,越後酒造場自製清酒,食べる,0,0,0,0
新潟県新潟市北区松浜(三軒屋町),北区,松浜(三軒屋町),居酒屋、その他,しかい,お弁当・店内飲食,食べる,0,0,0,0
新潟県新潟市北区早通南,北区,早通南,居酒屋、その他,パプ 憩,楽しい会話とおいしいお酒,食べる,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,居酒屋、その他,パブハウスMOKA(2F),パプ,食べる,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,居酒屋、その他,みずさわ食品,弁当・折詰・オードブル・惣菜,食べる,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,理容、美容院,青柳化粧品店,カネボウ・オパール化粧品・健康食品,暮らす,0,0,0,0
新潟県新潟市北区松浜,北区,松浜,理容、美容院,イジマ理容,理容室,暮らす,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,理容、美容院,エメロード美容室,美容室,暮らす,0,0,0,0
新潟県新潟市北区松浜,北区,松浜,理容、美容院,大島理容所,理容室,暮らす,0,0,0,0
新潟県新潟市北区柳原,北区,柳原,理容、美容院,カットクラブ豊栄店,大人カット・顔そり・子供カット,暮らす,0,0,0,0
新潟県新潟市北区須戸,北区,須戸,理容、美容院,cut club  とがし,理容室,暮らす,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,理容、美容院,カットサロン アイダ,理容室,暮らす,0,0,0,0
新潟県新潟市北区濁川,北区,濁川,理容、美容院,カットサロン ホリ,理容室,暮らす,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,理容、美容院,カットショップ いわさき,理容室,暮らす,0,0,0,0
新潟県新潟市北区川西,北区,川西,理容、美容院,カットショップ ワカツキ,理容室,暮らす,0,0,0,0
新潟県新潟市北区新元島町,北区,新元島町,理容、美容院,カットスタジオTOMO,美容業・パーマ・ヘアカラー,暮らす,0,0,0,0
新潟県新潟市北区柳原,北区,柳原,理容、美容院,カットスペース ダディ,理容室,暮らす,0,0,0,0
